protocol,name,company,finding_status,endpoint_url,card_or_docs_url,homepage_or_source_url,auth_required,niche_or_category,evidence,source_sheet,discovery_date,notes
a2a,Air Ticketing Agent,a2aproject,verified_repo_card,http://localhost:10103/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/air_ticketing_agent.json,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/air_ticketing_agent.json,none,TravelHospitality/itinerary-planning,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,Car Rental Agent,a2aproject,verified_repo_card,http://localhost:10105/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/car_rental_agent.json,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/car_rental_agent.json,none,TravelHospitality/itinerary-planning,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,Hotel Booking Agent,a2aproject,verified_repo_card,http://localhost:10104/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/hotel_booking_agent.json,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/hotel_booking_agent.json,none,TravelHospitality/itinerary-planning,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,Langraph Planner Agent,a2aproject,verified_repo_card,http://localhost:10102/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/planner_agent.json,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/planner_agent.json,none,ProductivityPersonal/life-admin,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,Orchestrator Agent,a2aproject,verified_repo_card,http://localhost:10101/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/orchestrator_agent.json,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/orchestrator_agent.json,none,ProductivityPersonal/life-admin,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,安仔 (AnZai) - Digital Persona Agent,AnZai Digital,verified_repo_card,https://anzai-agent.onrender.com,https://raw.githubusercontent.com/ximen120/anzai-agent/main/.well-known/agent-card.json,github:ximen120/anzai-agent:.well-known/agent-card.json,none,ProductivityPersonal/life-admin,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=7; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,inferGONKA — Inference Fuel for AI Agents,bystray,verified_live_card,https://a2a.gogonka.com/messages,https://a2a.gogonka.com/.well-known/agent.json,github:bystray/gonka-agent-card:agent.json,none,PersonalFinance/crypto-consumer,Fetched parseable Agent Card JSON from live well-known URL on 2026-06-11.,a2a-agent-cards.json,2026-06-11,live_well_known; skills=4; Live card URL is preferred over repository fixture.
a2a,Currency Conversion Agent,Example org,verified_repo_card,,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/adk_skills_agent/src/skills_agent/agent_card.json,github:a2aproject/a2a-samples:samples/python/agents/adk_skills_agent/src/skills_agent/agent_card.json,none,PersonalFinance/budgeting,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,Currency Conversion Agent,Example org,verified_repo_card,http://localhost:10999,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/adk_currency_agent/src/currency_agent/agent_card.json,github:a2aproject/a2a-samples:samples/python/agents/adk_currency_agent/src/currency_agent/agent_card.json,none,PersonalFinance/budgeting,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,a2a-agent-cards.json,2026-06-11,"repo_raw_card; skills=1; Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
a2a,meok-aaif-agent-card-mcp,MEOK AI Labs,verified_live_card,https://proofof.ai/scorecard/meok-aaif-agent-card-mcp.html,https://proofof.ai/.well-known/agent.json,github:CSOAI-ORG/meok-aaif-agent-card-mcp:.well-known/agent.json,none,unknown,Fetched parseable Agent Card JSON from live well-known URL on 2026-06-11.,a2a-agent-cards.json,2026-06-11,live_well_known; skills=7; Live card URL is preferred over repository fixture.
