company,product,company_type,category,agent_surface,evidence_summary,evidence_url,protocol_or_invocation,verification_status,discovery_date,notes
Microsoft,Microsoft Foundry Agent Service,established,enterprise-agent-platform,agent_platform,"Managed platform for building, deploying, and scaling AI agents.",https://learn.microsoft.com/en-us/azure/foundry/agents/overview,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Microsoft,Microsoft Copilot Studio agents,established,enterprise-agent-builder,agent_product,Low-code environment for building and publishing Microsoft Copilot agents.,https://www.microsoft.com/en-us/microsoft-copilot/microsoft-copilot-studio,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Microsoft,Microsoft 365 Copilot agents,established,productivity-agent-platform,agent_platform,Agents in Microsoft 365 Copilot for work and business workflows.,https://www.microsoft.com/en-us/microsoft-365/copilot,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Google Cloud,Vertex AI Agent Builder,established,enterprise-agent-platform,agent_platform,Google Cloud platform for building enterprise AI agents and conversational agents.,https://cloud.google.com/products/agent-builder,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Google Cloud,Google Agentspace,established,enterprise-search-agent,agent_product,Enterprise agent and search experience across company knowledge.,https://cloud.google.com/products/agentspace,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Google,Jules,established,coding-agent,coding_agent,Asynchronous coding agent for GitHub-connected development tasks.,https://jules.google/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Amazon Web Services,Amazon Bedrock Agents,established,enterprise-agent-platform,agent_platform,"AWS service for building agents that use foundation models, APIs, and knowledge bases.",https://aws.amazon.com/bedrock/agents/,api,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Amazon Web Services,Amazon Bedrock AgentCore,established,enterprise-agent-runtime,agent_platform,AWS agent runtime and tooling for deploying AI agents.,https://aws.amazon.com/bedrock/agentcore/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Amazon Web Services,Amazon Q Business,established,enterprise-assistant-agent,agent_product,Enterprise assistant that can answer questions and take action across business systems.,https://aws.amazon.com/q/business/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Salesforce,Agentforce,established,crm-agent-platform,agent_platform,Salesforce platform for deploying autonomous AI agents across CRM workflows.,https://www.salesforce.com/agentforce/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
ServiceNow,ServiceNow AI Agents,established,enterprise-workflow-agent,workflow_agent,ServiceNow agents for enterprise workflow automation.,https://www.servicenow.com/products/ai-agents.html,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
IBM,watsonx Orchestrate,established,enterprise-workflow-agent,workflow_agent,IBM agentic automation platform for assistants and business agents.,https://www.ibm.com/products/watsonx-orchestrate,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Oracle,Oracle AI Agent Studio,established,enterprise-agent-builder,agent_product,Oracle platform for building AI agents in enterprise applications.,https://www.oracle.com/artificial-intelligence/ai-agents/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
SAP,Joule Agents,established,enterprise-workflow-agent,workflow_agent,SAP Joule and Joule agents for enterprise business processes.,https://www.sap.com/products/artificial-intelligence.html,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Workday,Workday Illuminate agents,established,hr-finance-agent,agent_product,Workday AI agents for HR and finance workflows.,https://www.workday.com/en-us/artificial-intelligence.html,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Atlassian,Rovo agents,established,enterprise-collaboration-agent,agent_product,Atlassian Rovo agents for knowledge and team workflows.,https://www.atlassian.com/software/rovo,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
GitHub,GitHub Copilot coding agent,established,coding-agent,coding_agent,Copilot coding agent and agent mode for software development workflows.,https://github.com/features/copilot,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
GitLab,GitLab Duo Agent Platform,established,devops-agent-platform,agent_platform,GitLab Duo and agent platform for AI-assisted software delivery.,https://about.gitlab.com/gitlab-duo/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Databricks,Mosaic AI Agent Framework,established,data-agent-platform,agent_platform,Databricks framework and platform for building data and AI agents.,https://www.databricks.com/product/machine-learning/ai-agents,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Snowflake,Snowflake Cortex Agents,established,data-agent-platform,agent_platform,"Cortex Agents for enterprise data, search, and tool-using agent workflows.",https://www.snowflake.com/en/data-cloud/cortex/agents/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
NVIDIA,NeMo Agent Toolkit,established,agent-toolkit,agent_product,"Toolkit for connecting, evaluating, and operating enterprise AI agents.",https://developer.nvidia.com/nemo,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
UiPath,UiPath Agentic Automation,established,rpa-agent-platform,workflow_agent,"Agentic automation platform combining agents, robots, and orchestration.",https://www.uipath.com/platform/agentic-automation,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Automation Anywhere,AI Agent Studio,established,rpa-agent-platform,workflow_agent,Automation platform for building AI agents and automations.,https://www.automationanywhere.com/products/ai-agent-studio,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Appian,Appian AI Agents,established,process-agent-platform,agent_platform,AI agents embedded into Appian process automation.,https://appian.com/products/platform/artificial-intelligence,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Pegasystems,Pega Agentic AI,established,workflow-agent-platform,workflow_agent,"Agentic AI for enterprise workflow, service, and decisioning.",https://www.pega.com/agentic-ai,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
OpenAI,OpenAI Agents SDK / Responses API,established,agent-sdk,agent_product,SDK and API surface for building agentic applications.,https://platform.openai.com/docs/guides/agents,api|sdk,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
OpenAI,ChatGPT agent,established,consumer-agent,agent_product,"ChatGPT agent features for web, tool, and task execution.",https://openai.com/chatgpt/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Anthropic,Claude Code,established,coding-agent,coding_agent,Agentic coding tool from Anthropic.,https://www.anthropic.com/claude-code,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Anthropic,Claude with MCP,established,agent-platform,agent_platform,Claude ecosystem supports tool use and MCP-connected agent workflows.,https://modelcontextprotocol.io/,mcp,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Mistral AI,Agents API,startup,agent-api,agent_product,Mistral API surface for building agents and tool-using assistants.,https://docs.mistral.ai/capabilities/agents/,api,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Cohere,North,startup,enterprise-agent-platform,agent_platform,Cohere enterprise AI workspace and agent platform.,https://cohere.com/north,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Hugging Face,smolagents,established,agent-framework,agent_platform,Open-source library for building lightweight code agents.,https://huggingface.co/docs/smolagents/index,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
LangChain,LangGraph Platform,startup,agent-framework,agent_platform,Framework and platform for building reliable agents and multi-agent workflows.,https://www.langchain.com/langgraph,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
LlamaIndex,LlamaCloud / LlamaIndex Agents,startup,agent-framework,agent_platform,Framework and managed services for data-connected agents.,https://www.llamaindex.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
CrewAI,CrewAI Enterprise,startup,multi-agent-platform,agent_platform,Framework and platform for crews of role-based AI agents.,https://www.crewai.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Microsoft,AutoGen,established,multi-agent-framework,agent_platform,Open-source programming framework for multi-agent AI applications.,https://microsoft.github.io/autogen/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Microsoft,Semantic Kernel Agent Framework,established,agent-framework,agent_platform,Agent framework in Semantic Kernel for multi-agent orchestration.,https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Haystack,Haystack Agents,startup,agent-framework,agent_platform,Open-source framework for retrieval and tool-using agents.,https://haystack.deepset.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Letta,Letta,startup,stateful-agent-platform,agent_platform,Platform for stateful agents with long-term memory.,https://www.letta.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Mastra,Mastra,startup,agent-framework,agent_platform,TypeScript framework for building AI agents and workflows.,https://mastra.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Vellum,Vellum AI Agents,startup,agent-builder,agent_product,"Platform for building, evaluating, and deploying AI agents and workflows.",https://www.vellum.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Relevance AI,Relevance AI workforce,startup,agent-workforce-platform,agent_platform,No-code platform for building AI agents and multi-agent workforces.,https://relevanceai.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
MindStudio,MindStudio AI Agents,startup,agent-builder,agent_product,Platform for building and deploying AI agents.,https://www.mindstudio.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Stack AI,Stack AI Agents,startup,agent-builder,agent_product,Enterprise platform for building AI agents and workflow automations.,https://www.stack-ai.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Wordware,Wordware,startup,agent-builder,agent_product,Natural-language IDE for building AI agents.,https://www.wordware.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Dust,Dust agents,startup,enterprise-agent-platform,agent_platform,Platform for deploying custom AI agents for teams.,https://dust.tt/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Glean,Glean Agents,startup,enterprise-search-agent,agent_product,Enterprise AI platform with assistants and agents over company knowledge.,https://www.glean.com/product/agents,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Moveworks,Moveworks AI Agent,startup,employee-support-agent,agent_product,Enterprise AI agent for employee support and workflow automation.,https://www.moveworks.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Aisera,Aisera AI Agents,startup,enterprise-service-agent,agent_product,"Agentic AI platform for IT, HR, customer service, and operations.",https://aisera.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Sierra,Sierra Agent OS,startup,customer-service-agent,customer_service_agent,Customer-facing AI agent platform.,https://sierra.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Decagon,Decagon AI Agents,startup,customer-service-agent,customer_service_agent,AI agents for customer experience and support automation.,https://decagon.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Intercom,Fin,established,customer-service-agent,customer_service_agent,AI customer service agent.,https://www.intercom.com/fin,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Zendesk,Zendesk AI agents,established,customer-service-agent,customer_service_agent,AI agents for customer service and support.,https://www.zendesk.com/service/ai/ai-agents/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Ada,Ada AI Agent,startup,customer-service-agent,customer_service_agent,Customer-service automation and AI agent platform.,https://www.ada.cx/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Cognigy,Cognigy.AI,startup,contact-center-agent,customer_service_agent,Conversational and agentic AI platform for contact centers.,https://www.cognigy.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Kore.ai,AI for Service / AI Agents,startup,enterprise-agent-platform,agent_platform,Enterprise conversational and agentic AI platform.,https://kore.ai/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
Rasa,Rasa agents,startup,conversation-agent-platform,agent_platform,Platform for conversational AI agents in enterprise service workflows.,https://rasa.com/,product_or_platform,agent_product_found,2026-06-11,Broad agent-company sourcing row; not an Arbor invokability claim unless protocol_or_invocation names MCP/A2A/API and a separate endpoint is verified.
