agent_id,display_name,provider,description,niche_guess,declared_a2a_endpoint,agent_card_url,card_location_type,protocol_version,agent_version,skill_count,skill_names,capabilities,auth_required,verification_status,verification_evidence,discovery_source,discovery_date,notes
infergonka-inference-fuel-for-ai-agents-bystray,inferGONKA — Inference Fuel for AI Agents,bystray,"Spend less. Build more. — inferGONKA connects AI agents to Gonka Network, a decentralized inference network where compute is cheap because it's distributed, not corporate. $0.000343/1M tokens — 7,281× cheaper than GPT-4o. 3 premium open-source models: Qwen3-235B (rivals GPT-4o), Kimi K2.6 (~1T MoE, agentic reasoning), MiniMax M2.7 (1M token context). Free 100K-token trial instantly — no registration, no credit card. OpenAI-compatible: two env vars, zero code changes.",PersonalFinance/crypto-consumer,https://a2a.gogonka.com/messages,https://a2a.gogonka.com/.well-known/agent.json,live_well_known,,1.3.0,4,"Free Trial Inference Key — 100K Tokens, No Registration; Inference Cost Calculator; Trial Ended — Guide User to Register; Register — Get 12M nGNK Free, No Credit Card",pushNotifications,none,verified_live_card,Fetched parseable Agent Card JSON from live well-known URL on 2026-06-11.,github:bystray/gonka-agent-card:agent.json,2026-06-11,Live card URL is preferred over repository fixture.
meok-aaif-agent-card-mcp-meok-ai-labs,meok-aaif-agent-card-mcp,MEOK AI Labs,MEOK AAIF Agent Card MCP — Linux Foundation AAIF agent identity bridge. Issues + verifies +,unknown,https://proofof.ai/scorecard/meok-aaif-agent-card-mcp.html,https://proofof.ai/.well-known/agent.json,live_well_known,0.2.0,1.0.1,7,Issue Agent Card; Publish Card; Verify Card; Bridge A2A To Aaif; Bridge Oasf To Aaif; List Capability Taxonomy; Sign Card Chain,,none,verified_live_card,Fetched parseable Agent Card JSON from live well-known URL on 2026-06-11.,github:CSOAI-ORG/meok-aaif-agent-card-mcp:.well-known/agent.json,2026-06-11,Live card URL is preferred over repository fixture.
agent-revenue-copilot-olddun,Agent Revenue Copilot,Olddun,"A $9.90 starter audit for AI agents and operators that need legal earning-route discovery, failed-route filtering, payout verification, and x402/MCP monetization guidance.",PersonalFinance/budgeting,https://champion-penetration-geographic-danny.trycloudflare.com/a2a,https://raw.githubusercontent.com/Olddun/earn10-clawtasks-deliverables/main/.well-known/agent-card.json,repo_raw_card,1.0,0.1.49,3,Rank legal agent earning routes; Verify payout before declaring success; Set up an agent-owned inbox,"{""id"":""agent-revenue-copilot-starter-audit"",""name"":""Agent Revenue Copilot starter audit"",""description"":""Paid route audit for agents targeting $50+ payouts, repeated earning workflows, or reusable x402/MCP monetization."",""inputModes"":[""text/plain"",""application/json""],""outputModes"":[""text/markdown"",""application/json""],""price"":{""amount"":""9.90"",""currency"":""USDC"",""network"":""base""},""endpoints"":{""a2a"":""https://champion-penetration-geographic-danny.trycloudflare.com/a2a"",""paymentRequired"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/pay"",""paymentRequest"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/payment-request.json"",""fulfillment"":""https://champion-penetration-geographic-danny.trycloudflare.com/execute"",""operatorApproval"":""https://olddun.github.io/earn10-clawtasks-deliverables/agent-revenue-copilot/operator-handoff.html"",""orderIntake"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/evidence?offer=starter_audit&source=agent-card"",""directPaymentPage"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/direct-pay?offer=starter_audit&source=agent-card"",""cardCheckout"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/card-start?offer=starter_audit&source=agent-card"",""firstDollarTriage"":""https://champion-penetration-geographic-danny.trycloudflare.com/agent-revenue-copilot/direct-pay?offer=first_dollar_triage&source=agent-card"",""commerceManifest"":""https://champion-penetration-geographic-danny.trycloudflare.com/.well-known/agent-commerce.json"",""buyerIntent"":""https://olddun.github.io/earn10-clawtasks-deliverables/agent-revenue-copilot/buyer-intent.html""}}; {""id"":""free-agent-money-playbook"",""name"":""Free AI Agent Earn USDC playbook"",""description"":""Free pre-purchase guidance for one-off small earning attempts and blocked-route screening."",""inputModes"":[""text/plain"",""application/json""],""outputModes"":[""text/markdown"",""application/json""],""price"":{""amount"":""0"",""currency"":""USD""},""endpoints"":{""source"":""https://raw.githubusercontent.com/Olddun/earn10-clawtasks-deliverables/main/agent-money/README.md""}}",none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:Olddun/earn10-clawtasks-deliverables:.well-known/agent-card.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
air-ticketing-agent-a2aproject,Air Ticketing Agent,a2aproject,Helps book air tickets given a criteria,TravelHospitality/itinerary-planning,http://localhost:10103/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/air_ticketing_agent.json,repo_raw_card,,1.0.0,1,Book Air Tickets,streaming; pushNotifications,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/air_ticketing_agent.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
car-rental-agent-a2aproject,Car Rental Agent,a2aproject,Helps book car rental,TravelHospitality/itinerary-planning,http://localhost:10105/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/car_rental_agent.json,repo_raw_card,,1.0.0,1,Book Car Rental,streaming; pushNotifications,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/car_rental_agent.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
currency-conversion-agent-example-org,Currency Conversion Agent,Example org,Currency Conversion Agent,PersonalFinance/budgeting,http://localhost:10999,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/adk_currency_agent/src/currency_agent/agent_card.json,repo_raw_card,0.3.0,1.0.0,1,Perform Currency Conversion,streaming,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/adk_currency_agent/src/currency_agent/agent_card.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
currency-conversion-agent-example-org-2,Currency Conversion Agent,Example org,Currency Conversion Agent,PersonalFinance/budgeting,,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/adk_skills_agent/src/skills_agent/agent_card.json,repo_raw_card,,1.0.0,1,Perform Currency Conversion,streaming,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/adk_skills_agent/src/skills_agent/agent_card.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
hotel-booking-agent-a2aproject,Hotel Booking Agent,a2aproject,Helps book hotels given a criteria,TravelHospitality/itinerary-planning,http://localhost:10104/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/hotel_booking_agent.json,repo_raw_card,,1.0.0,1,Book Hotels,streaming; pushNotifications,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/hotel_booking_agent.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
langraph-planner-agent-a2aproject,Langraph Planner Agent,a2aproject,Helps breakdown a request in to actionable tasks,ProductivityPersonal/life-admin,http://localhost:10102/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/planner_agent.json,repo_raw_card,,1.0.0,1,Task Planner,streaming; pushNotifications,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/planner_agent.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
orchestrator-agent-a2aproject,Orchestrator Agent,a2aproject,Orchestrates the task generation and execution,ProductivityPersonal/life-admin,http://localhost:10101/,https://raw.githubusercontent.com/a2aproject/a2a-samples/main/samples/python/agents/a2a_mcp/agent_cards/orchestrator_agent.json,repo_raw_card,,1.0.0,1,Task Executor,streaming; pushNotifications,none,verified_repo_card,Fetched parseable Agent Card JSON from GitHub raw source on 2026-06-11.,github:a2aproject/a2a-samples:samples/python/agents/a2a_mcp/agent_cards/orchestrator_agent.json,2026-06-11,"Repository card is parseable, but live well-known discovery was absent, timed out, or not probed successfully."
