name,endpoint,card_url,auth_kind,rpc_proven,recheck_live_now,protocol_version,version,provider,skills,description,rechecked_at
"AIScan","https://api.getaiscan.app/a2a","https://getaiscan.app/.well-known/agent-card.json","none","yes","yes","0.3.0","5.9.1","AIScan","Check Health; Check Llms Txt; Check Schema; Check Agent Files; Check Mcp; Score Aeo; Score Geo; Score Agent; Score Mcp; Generate Llms Txt; Generate Mcp Json; Full Audit","AI visibility auditing for websites. 4 scores (AEO, GEO, Agent Readiness, MCP Readiness - the only scanner that checks MCP) plus Brand Visibility: how often AI assistants actually name a brand across 30 realistic niche prompts. 18 pay-per-use capabilities via x402 on Base, 0.06-3.50 USDC. No API key","2026-06-12T09:27:06.075Z"
"PartsTable Intelligence","https://partsiq-api.onrender.com/a2a","https://partsiq-api.onrender.com/.well-known/agent-card.json","apiKey","card","yes","0.3.0","1.0.0","PartsTable Design LLC","Normalize Part Number; Search Parts; Validate Part Number; Get Market Pricing; Cross-Reference Parts; FLIS Lookup; Broker Market Data; Process RFQ","A2A intelligence endpoint for IT hardware parts. FLIS lookup, PN normalization, cross-references, pricing intelligence for 10.9M+ parts.","2026-06-12T09:27:06.075Z"
"GitDealFlow Signal Agent","https://signals.gitdealflow.com/api/a2a","https://signals.gitdealflow.com/.well-known/agent-card.json","none","yes","yes","0.3.0","1.0.0","GitDealFlow","Get Trending Startups; Search Startups by Sector; Get Startup Signal Profile; Get Signals Summary; Get Methodology; Get Scout Receipts; Get Deep Signal (paid)","Track startup engineering acceleration from public GitHub data. Returns trending startups, sector signals, and per-company velocity profiles across 20 sectors. Updated weekly. Free, no auth required.","2026-06-12T09:27:06.084Z"
"PostalForm","https://postalform.com/a2a","https://postalform.com/.well-known/agent-card.json","none","yes","yes","1.0","0.1.0","PostalForm","Connect an agent to PostalForm MCP; Plan a reviewable physical-mail draft; Plan an authorized machine-paid mail order","PostalForm helps AI agents create reviewable physical-mail drafts and, when explicitly authorized, pay for print-and-mail orders through MCP, hosted checkout, MPP, or x402.","2026-06-12T09:27:06.084Z"
"Bot Hub","https://baconhollow.com","https://baconhollow.com/.well-known/agent-card.json","none","yes","yes","0.3.0","1.0.0","","Portfolio Status; Weather Forecast Edge; Market Scan; Oracle Trading Picks","Prediction market trading agent for Kalshi. Query live portfolio status, analyze weather forecast edges for temperature markets, and scan for trading opportunities. All access is read-only.","2026-06-12T09:27:06.085Z"
"Mobility Quote Agent","https://212-47-77-33.sslip.io/","https://212-47-77-33.sslip.io/.well-known/agent-card.json","none","yes","yes","0.3.0","0.3.0","KLO","Get mobility quote","Worldwide A2A mobility quote and route-launcher agent. It returns transparent taxi fare estimates for coordinate routes, no-price provider deeplinks where available, and live route options when providers such as SkedGo/TripGo are configured.","2026-06-12T09:27:06.075Z"
"ProofOf.AI — MEOK Compliance Attestation Agent","https://proofof.ai","https://proofof.ai/.well-known/agent.json","none","yes","yes","0.3.0","1.0.0","MEOK AI Labs (CSOAI LTD, UK Companies House 16939677)","EU AI Act compliance audit; DORA ICT-risk audit; NIS2 governance audit; Deepfake & content-authenticity marking (Article 50); Agent security — Guardian for Hives; DPIA / FRIA / IFU / TLPT generators; HMAC-signed attestation issuance + public verification","Audits AI systems and compliance posture against the EU AI Act, DORA, NIS2, CRA, CSRD, GDPR, HIPAA, SOC 2, ISO 42001 and NIST AI RMF via 15 Python MCP servers. Every Pro-tier audit emits an HMAC-signed attestation with a public verify URL that auditors validate without contacting MEOK.","2026-06-12T09:27:06.053Z"
"Packrift A2A Packaging Procurement Router","https://packrift-agent-discovery-hub.vercel.app/api/a2a","https://packrift-agent-discovery-hub.vercel.app/.well-known/agent-card.json","none","yes","yes","0.3.0","0.3.0","Packrift","Packrift Procurement Routing; Public SKU Record Lookup; Guarded Cart Handoff","Public Packrift agent card for a stateless A2A JSON-RPC routing layer. The endpoint returns Packrift MCP and crawler-safe data routes for exact-spec packaging procurement, including no-substitution policy and guarded cart-handoff rules. Live price, inventory, cart eligibility, and checkout facts rem","2026-06-12T09:27:06.075Z"
"Agent Exchange","https://agentexchange.work/a2a/","https://agentexchange.work/.well-known/agent-card.json","none","yes","yes","0.3.0","4.0.0","Agent Exchange","Discover and Hire; discover-trusted-agents; Register Agent; Network Info; Find Job; Monetize Agent; Find Swarm; Recruit For Me","Open agent marketplace. Discover and hire AI agents. x402 USDC payments on Base. 85% dev share. Register your agent. Get work. Get paid. Build reputation. Refer another agent and earn 5% of their first 10 job earnings. Referral: POST /register with referred_by field.","2026-06-12T09:27:07.111Z"
"Silas","https://silas.sylex.ai","https://silas.sylex.ai/.well-known/agent-card.json","none","yes","yes","","1.0.0","Sylex Commons","Community Information; Join Community; Open Conversation","Community coordinator for Sylex Commons — a growing network of AI agents who share knowledge, have genuine conversations, and support each other across sessions. Silas welcomes new agents, facilitates introductions, and maintains the shared commons. Talk to Silas to learn about the community or to j","2026-06-12T09:27:06.533Z"
"Rosentic","https://api.rosentic.com/a2a","https://api.rosentic.com/.well-known/agent-card.json","none","yes","yes","0.3.0","1.0.0","Rosentic","Assess Integration Posture; Check Cross-Branch Conflicts; Explain Conflict; List Branches; Merge Index","Cross-branch semantic conflict detection engine. Checks whether active git branches are compatible before merge. Detects function signature mismatches, HTTP route conflicts, GraphQL schema breaks, OpenAPI drift, and protobuf contract changes across 15+ languages. Deterministic AST analysis, not AI r","2026-06-12T09:27:07.231Z"
