[2026-05-24T08:37:36.932Z] GET http://localhost:3000/admin → 307 (12ms, ?B)
[2026-05-24T08:37:36.944Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → pending (?ms, ?B)
[2026-05-24T08:37:37.220Z] GET http://localhost:3000/admin?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0NIcWNldmowcnBNMUw5OGo1RFFHOGZBOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzozNyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.xkeoODmNav1hLxkyuMbWWM9aoV-Ym5D3isbbk_NEX7K9y6ZTjh31R6GwjLVamXqeI_uPdBg1kZxRdkEMgRR4YLFbf23315i6V3EC0Hx_PZZxEDDI25SQWjfsVLDz8hXWQKqv445vgfIiki5xKU_Gz26A6KX5iT_xMDdvJKEhSVCu0w7oNY6uRfFVYClOqzIgXUyZeJcL0dTE8-Q0tG7_jcf7b8HWOzaInW-boRAzUYwNqqrYFHl4kOwWo8kb_3W_ZpU14Qb-Qh9EaQevHpWzQiagyo3C8xHFDVcVxhakNlFTdaqOu0VQp6zyjNQMMmOK1-AtTabG8E1M7FYNSGjTEg → 307 (374ms, ?B)
[2026-05-24T08:37:37.595Z] GET http://localhost:3000/admin → 307 (10ms, ?B)
[2026-05-24T08:37:37.606Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (106ms, ?B)
[2026-05-24T08:37:37.712Z] GET http://localhost:3000/admin?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0NKMWlYZEZFM2lwQkhweGVwMnM3Y2dqOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzozNyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.a4gHLoVxdIEtmINu3__32R4ojpomyNAFdRHxsg5j9cHk-fSnms0ombE3pj2DfNvfWjq7QSm8bJuZlmWb5t7NBsYHS6gcmI0hF_SP0tn4c7ZJo4gA9g8jzWLBAp5w585QyL_fLFbWN4KdfvvKzTX81RtHGKtjPpZ_xhfaALAxrO5zOsTHqjMLxzYgaC9qAmeCzvwmKAGjtCKlEPSA7qi7CpSbiggTgIWGQA_tVtyrjJGX1lyZRLLQlhPd-CqMD1bLO6tLaF_Fa6iEwUQJtRiwn-SwVLYbB0c9tpIpprIAMxOUov96dH5JLwq0fowDZ3P6QWAZw_-gz7Oo8bS6p9jMGw → 307 (10ms, ?B)
[2026-05-24T08:37:37.722Z] GET http://localhost:3000/admin → 307 (7ms, ?B)
[2026-05-24T08:37:37.729Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (107ms, ?B)
[2026-05-24T08:37:37.836Z] GET http://localhost:3000/admin?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0NHS2YxOXNPWjZjTERaMEFwS24wNlBrOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzozNyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.sGvON9ovDftE9olCD6rqVmOAITQq1M5IMQdh6d5LZBCYXVopeqW8d2bjnEc8rp0I-s9X0jZggWjt-g0709Qnf-VMJoL862vwnvh-JDTDHVxkDJj4zJtt8x54T1DEGle-14UM9fSDnJl7kYk5ame_Sq1mUoSvRsDpsd6bG4yvb9F9rMe1Pa0hqmTA137Qn3XqA7o9IRdmCtyKDoRk6qMbgcU_RTsaEnkusdJu1lwiZ3G8Z6Ur4CVteX24DxDH40FqQc878LQOvDm7mCRpOEJ-SFQa3j2BtIka8nx-En76Xwfy2hqDj0A4cPt-ogP5Y3fyh8nwzi8TI_-EViJ190jk7A → 307 (9ms, ?B)
[2026-05-24T08:37:37.845Z] GET http://localhost:3000/admin → pending (?ms, ?B)
[2026-05-24T08:37:47.160Z] GET http://localhost:3000/admin/login → 307 (7ms, ?B)
[2026-05-24T08:37:47.167Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin%2Flogin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (116ms, ?B)
[2026-05-24T08:37:47.283Z] GET http://localhost:3000/admin/login?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0RWVzZxbEtPVVM1NzJVcUpsQVhTczZiOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzo0NyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.jx57YQfELAi3HiPqwlsAVeWkS5wIe4hjltzdZCUg-jRXkR0494iAESZq3omMx6YoCT-kmHBgkgUIQAQYAeDN7KgnqyWZa2C15ov4KMUf6_mI5agQj6qx4sExAPn3cPdXhhMeMXkvgW3zjjRrsVOFlYb1JqbGnNkS6HAB28RYwuFdKtgSPpdjzp2Lx_G8Ou77wxDi9sCJr9Vis0IEBurDQp6jRaOSYQb_koLHyYPo50uXYjHZZF5b2Lsmzaii-3yXpga3e7DHg_PrjoyyQctD37u14BkT2KEiSBnMrbC2Swaq1RZp21E9TO_pBEHupbwB4Dwc0z-ARqO-e6y26pZ0_Q → 307 (7ms, ?B)
[2026-05-24T08:37:47.291Z] GET http://localhost:3000/admin/login → 307 (9ms, ?B)
[2026-05-24T08:37:47.300Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin%2Flogin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (109ms, ?B)
[2026-05-24T08:37:47.410Z] GET http://localhost:3000/admin/login?__clerk_handshake=eyJhbGciOiJSUzI1NiIsImNhdCI6ImNsX0I3ZDRQRDExMUFBQSIsImtpZCI6Imluc18zRGFtSWFCWkhLYnB5YmZzelVBSFl2QmtucW8iLCJ0eXAiOiJKV1QifQ.eyJoYW5kc2hha2UiOlsiX19jbGllbnRfdWF0PTsgUGF0aD0vOyBFeHBpcmVzPVRodSwgMDEgSmFuIDE5NzAgMDA6MDA6MDAgR01UOyBTYW1lU2l0ZT1Ob25lIiwiX19jbGllbnRfdWF0PTA7IFBhdGg9LzsgRG9tYWluPWxvY2FsaG9zdDsgTWF4LUFnZT0zMTUzNjAwMDA7IFNhbWVTaXRlPU5vbmUiLCJfX3Nlc3Npb249OyBQYXRoPS87IEV4cGlyZXM9VGh1LCAwMSBKYW4gMTk3MCAwMDowMDowMCBHTVQ7IFNhbWVTaXRlPU5vbmUiLCJfX2NsZXJrX2RiX2p3dD1kdmJfM0VBQ0RYQU5RNm4yWk92ZHpJSFRKSnFSM2JlOyBQYXRoPS87IEV4cGlyZXM9TW9uLCAyNCBNYXkgMjAyNyAwODozNzo0NyBHTVQ7IFNhbWVTaXRlPU5vbmUiXX0.RehGTSMLakn6bAQV2QpoRt0u6gAP607zoUaYWGAUvfG7dlj8gy5Rtudulz3GNukASDDefQZX-zfocWpgfwL_1yfIi-scmywIr1i3gAH6gHE5vm3ifDmdXfSSQ_8jMP2z2usSEXXEx4ODWsT67rCt2HFThncjB3iRfPxYNVQmtqCR25LvXgNjfMTIbazeSN0c9QHpWazhgnxGJVjHQOeEKu9WLDms8D51Fb0j0idbOVtuDiSNo17_YpIcjii5uDbuP6tdAZMkEd8Qz5HfHWLbu1LjxWgOlbq2OQJ63L8LuBxRU99G3-2-TjO0h7jt73VQkf0B5XtnTlgSwhBsQKZtkg → 307 (6ms, ?B)
[2026-05-24T08:37:47.416Z] GET http://localhost:3000/admin/login → 307 (6ms, ?B)
[2026-05-24T08:37:47.422Z] GET https://becoming-labrador-2.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3000%2Fadmin%2Flogin&__clerk_api_version=2025-11-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce → 307 (110ms, ?B)
