agent_id,display_name,provider,description,niche_guess,declared_a2a_endpoint,agent_card_url,card_location_type,protocol_version,agent_version,skill_count,skill_names,capabilities,auth_required,verification_status,verification_evidence,discovery_source,discovery_date,notes
"pet-care-ai-mcp","pet-care-ai-mcp","MEOK AI Labs","Pet Care Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/pet-care-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/pet-care-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Generate Feeding Schedule; Track Vaccinations; Identify Breed; Check Health Symptoms; Get Training Recommendations","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / pet-care-ai-mcp"
"recipe-finder-ai-mcp","recipe-finder-ai-mcp","MEOK AI Labs","Recipe Finder Ai MCP Server by MEOK AI Labs","FoodDining/cooking-assistant","https://proofof.ai/scorecard/recipe-finder-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/recipe-finder-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Find Recipe; Substitute Ingredient; Plan Weekly Meals; Estimate Nutrition","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / recipe-finder-ai-mcp"
"restaurant-ai-mcp","restaurant-ai-mcp","MEOK AI Labs","Restaurant Ai MCP Server by MEOK AI Labs","FoodDining/cooking-assistant","https://proofof.ai/scorecard/restaurant-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/restaurant-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","5","Optimize Menu; Calculate Food Cost; Manage Reservation; Analyze Reviews; Check Allergens","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / restaurant-ai-mcp"
"personal-finance-ai-mcp","personal-finance-ai-mcp","MEOK AI Labs","Personal Finance Ai MCP Server by MEOK AI Labs","PersonalFinance/budgeting","https://proofof.ai/scorecard/personal-finance-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/personal-finance-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Track Budget; Calculate Savings; Plan Debt Payoff; Analyze Investment; Estimate Tax","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / personal-finance-ai-mcp"
"workout-planner-ai-mcp","workout-planner-ai-mcp","MEOK AI Labs","MCP server for workout planner ai. Features create workout, track progress, suggest exercises. From","SportsOutdoors/workout-plans","https://proofof.ai/scorecard/workout-planner-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/workout-planner-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.4","4","Create Workout; Track Progress; Suggest Exercises; Calculate Volume","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / workout-planner-ai-mcp"
"sleep-tracker-ai-mcp","sleep-tracker-ai-mcp","MEOK AI Labs","Sleep Tracker Ai MCP Server by MEOK AI Labs","HealthWellness/sleep-coaching","https://proofof.ai/scorecard/sleep-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/sleep-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Log Sleep; Get Sleep Stats; Analyze Patterns; Get Recommendations","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / sleep-tracker-ai-mcp"
"habit-tracker-ai-mcp","habit-tracker-ai-mcp","MEOK AI Labs","Habit Tracker Ai MCP Server by MEOK AI Labs","ProductivityPersonal/habit-tracking","https://proofof.ai/scorecard/habit-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/habit-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","7","Create Habit; Log Completion; Get Habit Streak; Get Habit History; Get All Habits; Delete Habit; Get Weekly Stats","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / habit-tracker-ai-mcp"
"expense-tracker-ai-mcp","expense-tracker-ai-mcp","MEOK AI Labs","Expense Tracker Ai MCP Server by MEOK AI Labs","HomeFamily/pet-care","https://proofof.ai/scorecard/expense-tracker-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/expense-tracker-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","7","Add Expense; Get Expenses; Set Budget; Get Budget Status; Get Category Summary; Get Monthly Summary; Delete Expense","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / expense-tracker-ai-mcp"
"flashcard-ai-mcp","flashcard-ai-mcp","MEOK AI Labs","Flashcard Ai MCP Server by MEOK AI Labs","EducationLearning/flashcard-generator","https://proofof.ai/scorecard/flashcard-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/flashcard-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","4","Create Deck; Add Card; Quiz Session; Get Stats","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / flashcard-ai-mcp"
"fitness-ai-mcp","fitness-ai-mcp","MEOK AI Labs","Fitness Ai MCP Server by MEOK AI Labs","SportsOutdoors/workout-plans","https://proofof.ai/scorecard/fitness-ai-mcp.html","https://raw.githubusercontent.com/CSOAI-ORG/fitness-ai-mcp/main/.well-known/agent.json","live_well_known","0.2.0","1.0.6","5","Generate Workout; Track Calories; Calculate Body Composition; Build Training Plan; Check Exercise Form","","none","verified_live_card","Repo card + live well-known confirmed at https://proofof.ai/.well-known/agent.json","CSOAI-ORG GitHub / MEOK AI Labs","2026-06-11","CSOAI-ORG / fitness-ai-mcp"
