company,yc_slug,yc_batch,yc_url,protocol_type,protocol_role,endpoint_or_docs_url,evidence,status,notes
Klavis AI,klavis-ai,Spring 2025,https://www.ycombinator.com/companies/klavis-ai,mcp,hosted MCP environments / hosted MCP server,https://strata.klavis.ai/mcp/,YC page: real-world MCP environments; YC launch snippet says secure hosted Jira MCP server. MCP registry lists ai.klavis/strata at https://strata.klavis.ai/mcp/.,qualified_registry_endpoint,Strongest YC row: has YC evidence plus public MCP registry remote.
Manufact (formerly mcp-use),manufact,Summer 2025,https://www.ycombinator.com/companies/manufact,mcp,MCP app/server builder and deployment cloud,https://www.ycombinator.com/companies/manufact,YC page: open-source SDK and cloud infrastructure for MCP Servers and ChatGPT Apps; build/deploy/publish MCP Apps and Servers.,qualified_docs_only,"Protocol platform, not a single agent endpoint."
Golf,golf,Spring 2025,https://www.ycombinator.com/companies/golf,mcp,MCP server gateway / governance,https://www.ycombinator.com/companies/golf,"YC page says Golf gives visibility/control over AI agents and MCP, and lets teams ship production-ready MCP servers.",qualified_docs_only,No public endpoint found in registry under Golf; do not confuse with PGA Golf MCP.
Metorial,metorial,Fall 2025,https://www.ycombinator.com/companies/metorial,mcp,Magic MCP / hosted MCP deployment infrastructure,https://www.ycombinator.com/companies/metorial,"YC page: Magic MCP, 600+ integrations for vibe coding; create and deploy MCP servers to Metorial.",qualified_docs_only,"Protocol platform, not a single agent endpoint."
Dedalus Labs,dedalus-labs,Summer 2025,https://www.ycombinator.com/companies/dedalus-labs,mcp,agent compute substrate with hosted MCP support,https://www.ycombinator.com/companies/dedalus-labs,YC page: SDK connects any LLM to local or remotely hosted MCP servers; managed infra deploys an MCP server in 3 clicks.,qualified_docs_only,Protocol infra.
Humwork,humwork,Spring 2026,https://www.ycombinator.com/companies/humwork,mcp,MCP server connecting agents to human experts,https://www.ycombinator.com/companies/humwork,YC page: Humwork's MCP server connects agents like Claude Code or OpenClaw to verified human experts.,qualified_docs_only,Consumer/prosumer applicability depends on expert marketplace access.
QueryPie AI,querypie-ai,Winter 2020,https://www.ycombinator.com/companies/querypie-ai,mcp,enterprise AI platform integrating MCP servers,https://www.ycombinator.com/companies/querypie-ai,"YC page: enterprise AI platform built on an MCP-based architecture, connecting internal data and business systems.",qualified_docs_only,Enterprise-first.
Hyperbrowser,hyperbrowser,Summer 2021,https://www.ycombinator.com/companies/hyperbrowser,mcp,HyperAgent MCP client,https://www.ycombinator.com/companies/hyperbrowser,YC page: HyperAgent is an MCP client and offers extensibility with any MCP server.,qualified_docs_only,MCP client rather than MCP server.
doola,doola,Summer 2020,https://www.ycombinator.com/companies/doola,mcp,LLC formation via MCP,https://www.ycombinator.com/companies/doola,YC page launch: doola MCP + API for US LLC Formation; claims first business formation/compliance platform to offer LLC formation via MCP.,qualified_docs_only,Concrete vertical use case; endpoint not found in public registry during this pass.
Nozomio / Nia,nozomio,Summer 2025,https://www.ycombinator.com/companies/nozomio,mcp,Nia MCP server for code/docs context,https://www.ycombinator.com/companies/nozomio,YC page: Nia is an MCP server that indexes codebases and documentation sites for coding agents.,qualified_docs_only,Developer-facing; already relevant to Arbor as specialist-style MCP.
Armature,armature,Spring 2026,https://www.ycombinator.com/companies/armature,mcp,agent experience testing against MCPs/CLIs,https://www.ycombinator.com/companies/armature,YC page: automated testing runs complex sessions against MCPs/CLIs and improves products' MCP and CLI surfaces.,qualified_docs_only,Audits MCP surfaces; not necessarily its own public MCP endpoint.
Orthogonal,orthogonal,Winter 2026,https://www.ycombinator.com/companies/orthogonal,mcp,agentic payments/API gateway via MCP,https://www.ycombinator.com/companies/orthogonal,YC page: developers and agents get instant access to hundreds of APIs through Orthogonal MCP or SDK; add their MCP to an agent.,qualified_docs_only,Agentic API/payment marketplace.
Specific,specific,Fall 2025,https://www.ycombinator.com/companies/specific,mcp,MCP server for coding agents,https://www.ycombinator.com/companies/specific,YC page: connect any coding agent in minutes through Specific's MCP server.,qualified_docs_only,Coding-agent infra.
Blaxel,blaxel,Spring 2025,https://www.ycombinator.com/companies/blaxel,mcp,MCP server hosting for agent deployments,https://www.ycombinator.com/companies/blaxel,YC page: agent deployments as serverless APIs and MCP servers hosting.,qualified_docs_only,Agent infra platform.
Alter,alter,Summer 2025,https://www.ycombinator.com/companies/alter,mcp+a2a_coming_soon,agent access control for MCP/native tools; A2A coming soon,https://www.ycombinator.com/companies/alter,YC page: supports MCP and native tools; A2A coming soon.,partial_coming_soon,Included because MCP support is present; A2A is explicitly not live yet.
Scope,scope,Spring 2026,https://www.ycombinator.com/companies/scope,mcp,agent experience infra for products including MCP servers,https://www.ycombinator.com/companies/scope,"YC page: focuses on products agents directly interact with, especially APIs, infra products, CLIs, and MCP servers.",partial_protocol_adjacent,Not clear that Scope itself exposes a YC-linked MCP; registry scope.bid hits may be unrelated.
LiteLLM,litellm,Winter 2023,https://www.ycombinator.com/companies/litellm,mcp,agent/LLM gateway with MCP server integration,https://www.ycombinator.com/companies/litellm/jobs/jqpzzbK-backend-mcp-engineer,YC job page: protocol layer includes JSON-RPC/WebSockets/SSE; agent tooling includes MCP; connects agents/LLMs to MCP servers.,partial_jobs_only,Company page evidence is weaker; MCP appears in YC job description.
VoiceOS,voiceos,Spring 2025,https://www.ycombinator.com/companies/voiceos,mcp,voice productivity actions via MCP,https://www.ycombinator.com/companies/voiceos/jobs/ebW1Fif-qa-tester,"YC job page: executes real actions in external apps via MCP, e.g. Slack, calendar, docs.",partial_jobs_only,Company page did not mention MCP in this pass; job page does.
BrowserOS,browseros,Summer 2024,https://www.ycombinator.com/companies/browseros,mcp,browser agent builder using MCP servers plus automation/API approaches,https://www.ycombinator.com/companies/browseros,"YC page says other agent builders use MCP servers and positions BrowserOS around combining browser automation, APIs, and agent approaches.",partial_protocol_adjacent,"Mention is product-positioning, not a public BrowserOS MCP endpoint."
Sendbird,sendbird,Winter 2016,https://www.ycombinator.com/companies/sendbird,a2a,A2A vision for business/individual agent connection,https://www.ycombinator.com/companies/sendbird,YC page: envisions an A2A / Agent-to-Agent world where agents connect businesses and individuals.,watchlist_vision_only,No public A2A agent card found in this pass.
Kinro,kinro,Spring 2026,https://www.ycombinator.com/companies/kinro,a2a,future agent-to-agent insurance sales,https://www.ycombinator.com/companies/kinro,"YC page: tomorrow, agents sell via agent-to-agent interactions on AI platforms.",watchlist_vision_only,"Long-term vision, not verified A2A protocol endpoint."
Trusty,trusty,Winter 2022,https://www.ycombinator.com/companies/trusty,a2a,agent-to-agent real estate matchmaking network,https://www.ycombinator.com/companies/trusty,YC page: Trusty is an agent-to-agent matchmaking network that searches every home.,watchlist_vision_only,"Phrase may be product category, not Google A2A protocol."
MouseCat,mousecat,Winter 2026,https://www.ycombinator.com/companies/mousecat,mcp+a2a_context,founder is MCP core maintainer / represented Amazon on A2A steering committee,https://www.ycombinator.com/companies/mousecat,YC page: CEO is a core MCP maintainer and represented Amazon on the A2A steering committee.,watchlist_team_signal_only,Team signal only; no product MCP/A2A endpoint found.
Manus,,,https://manus.im/,unknown,general-purpose AI agent,https://manus.im/,"YC has library/social coverage of Manus, but no YC company-directory page was found and no public MCP/A2A endpoint/card was found in this pass.",excluded_not_yc_company_or_protocol_verified,This is why Manus was missing from the earlier corpus; it is not a verified YC MCP/A2A row.
